uri,cid,author_handle,author_name,text,author_data,post_data,embed_data,reply_count,repost_count,like_count,quote_count,indexed_at,in_reply_to,in_reply_root,quotes,tags,mentions,links,langs,labels
at://did:plc:4ownlsrdmnvwgzmcdi2bof6s/app.bsky.feed.post/3lrtmepcods2l,bafyreifur3tcbp5uacoet57ywby7vju2afwclwofkd5npsegid4jg4spsi,peipolitical.bsky.social,PEIPolitical 🇨🇦,"Premier Ford says he almost had a car stolen from his Etobicoke home last night. He says “Four thugs come racing down my street, masks on, ready to take the car out of the driveway” he says his OPP detail stopped the theft. #cdnpoli",,,,1,0,2,0,2025-06-17T23:08:00Z,NA,NA,NA,,,,,
at://did:plc:xzgwn3nornr6v6cdd2fqsdru/app.bsky.feed.post/3lrtmciflyk2p,bafyreiao7jbkynte7m4lj6dz66or27xzvd63s6xefc4w7u5wg2ezciai2q,mikemontreal.bsky.social,Montreal Mike🇨🇦,"As someone who has had severe allergic attacks I can tell you it’s terrifying to go through. 

However I feel about Noem’s actions and words, I wish her a speedy recovery. 

#uspoli #cdnpoli",,,,0,0,0,0,2025-06-17T23:06:44Z,NA,NA,NA,,,,,
at://did:plc:mwagtmvsxuqlgte5iqk3fndm/app.bsky.feed.post/3lrtm3y5aa22t,bafyreicchizm6egojqt3436zayvemd4alz2m4h6sqpztchd7pmhyfpcsci,lalegault.bsky.social,LA Legault 🍁,"Sending this around again so you can follow the work our lawmakers are doing: #cdnpoli 

bsky.app/profile/did:...",,,,0,4,5,0,2025-06-17T23:03:06Z,NA,NA,at://did:plc:mwagtmvsxuqlgte5iqk3fndm/app.bsky.graph.list/3lb6bewcklu2i,,,,,
at://did:plc:xzgwn3nornr6v6cdd2fqsdru/app.bsky.feed.post/3lrtlyz3szs2p,bafyreifvzwqs3ubwi6dzh54dunqqwbstkoskmc6r2f2pfozfdmgu52lfdm,mikemontreal.bsky.social,Montreal Mike🇨🇦,"Amazing how smooth the G7 runs when Trump isn’t there, eh?

#cdnpoli #uspoli #g7",,,,1,1,5,0,2025-06-17T23:01:26Z,NA,NA,NA,,,,,
at://did:plc:vxrgewbtpz7qkupi5ufy77qq/app.bsky.feed.post/3lrtlqwrhls24,bafyreifbap4vqais5fxviisryhzq2sc74wrabphvj7e4x5xmlnrda35k6q,asytsema.bsky.social,"Taking Alberta Forward, We Stand With Canada🍁","Universal Public Healthcare is a Human Right in #Canada, it's not for our #Conservative Premiers to destroy in their pursuit of #Power and #Greed. #ableg #abpoli #cdnpoli #cdnpolitics",,,,0,0,1,0,2025-06-17T22:56:59Z,at://did:plc:vxrgewbtpz7qkupi5ufy77qq/app.bsky.feed.post/3lrtlovodgs24,at://did:plc:vxrgewbtpz7qkupi5ufy77qq/app.bsky.feed.post/3lrtlovodgs24,NA,,,,,
at://did:plc:bwnpn6d4ewofwpy56xooo3kb/app.bsky.feed.post/3lrtlqp37pk2q,bafyreiduvggpki2hbwrhhdzbpxzd52ml26eq2rptz353autvrdoloptu2u,stevev68.bsky.social,Steve Valeriote,Someone exposed her to empathy.  #cdnpoli #uspoli,,,,0,0,1,0,2025-06-17T22:56:47Z,NA,NA,at://did:plc:urrjvjmc7sowchg3ph322pbr/app.bsky.feed.post/3lrtldjqz2c2u,,,,,
at://did:plc:54e5yjwti3paq4wmvgvwbhcp/app.bsky.feed.post/3lrtlq5kak22x,bafyreidzypvntn5vay2evnau7aanttbamjelq6np2o6qbbb54l3a25q2b4,lisawedmann.bsky.social,Lisa,"Carney & Ford are doing great work. #onpoli #cdnpoli

www.thestar.com/politics/fed...",,,,0,0,0,0,2025-06-17T22:56:30Z,NA,NA,NA,,,,,
at://did:plc:istu2catmtwuynu7jlh6buzl/app.bsky.feed.post/3lrtlophyr22x,bafyreig4zyoeto4texoj7i6gwiuiglqdrfbvwxe3xijihsqzvx3agaicda,elcanaco.bsky.social,elcanaco.bsky.social,"Food for thought.

#ElbowsUp #cdnpoli #EU #G7",,,,0,0,1,0,2025-06-17T22:55:59Z,NA,NA,NA,,,,,
at://did:plc:ojmbkta5v4dxvsxcn5uhssar/app.bsky.feed.post/3lrtlo6l27k2m,bafyreigqz7navt6mabxpbvplkdjr4pj2utmv4ofxevqoegwy2xm5k2cszy,ayan604.bsky.social,Andy Yan,"We (#Vancouver) are Number 10!

#vanpoli #bcpoli #cdnpoli #vanre 

edition.cnn.com/2025/06/16/t...",,,,0,1,0,0,2025-06-17T22:55:26Z,NA,NA,NA,,,,,
at://did:plc:aluhvhowyayoyhqeu2hxinwh/app.bsky.feed.post/3lrtljhtqj222,bafyreibzdxxwtqiqp5umi3apnzd3iyimn2q3qc7mqr6klkrqoazqckskq4,stephenlautens.bsky.social,Stephen Lautens,How many times and ways can we say no? #cdnpoli www.thestar.com/politics/fed...,,,,4,7,12,1,2025-06-17T22:52:46Z,NA,NA,NA,,,,,
at://did:plc:oqxoq7btbkztewuzmallzuvo/app.bsky.feed.post/3lrtlhfwfic2w,bafyreigox4kemhyhyg6xiuupkla2okqqvpoy4nssf3rfgbsrn3wa2wu6su,lukaszukab.bsky.social,Hon. Thomas A. Lukaszuk,"Mr. Kurek, resigning a seat and trashing thousands of votes for which you campaigned few weeks ago, is an insult to democracy, to voters, and to volunteers who helped you.

This opportunistic by-election will cost Canadians $1.7 million.

#cdnpoli",,,,6,11,17,0,2025-06-17T22:51:36Z,NA,NA,at://did:plc:ajrunnlacaaby6boacgirkrr/app.bsky.feed.post/3lrt33k3jmc2j,,,,,
