uri,cid,author_handle,author_name,text,author_data,post_data,embed_data,reply_count,repost_count,like_count,quote_count,bookmark_count,indexed_at,created_at,in_reply_to,in_reply_root,quotes,tags,mentions,links,langs,labels
at://did:plc:5bgeg5epcdwzdtnavkddal6u/app.bsky.feed.post/3mv25eslwe72w,bafyreifaifglrm7x4hj6qv7zuquzozxis4gfojswqslxha33ckgb57qf3e,sitkamedia.bsky.social,Sitka Media,"BC is installing new signs along the Canada-US border declaring the province will “NEVER be the 51st state.”

Premier David Eby says the signs send a “uniquely Canadian message” amid escalating tensions with US President Donald Trump.

🔗 Read more: https://loom.ly/2GQvPjc

#bcpoli #cdnpoli",,,,0,0,0,0,0,2026-09-08T23:10:01Z,2026-09-08T23:10:00Z,NA,NA,NA,,,,,
at://did:plc:ifi6xqgbojwquosnkvzx3gna/app.bsky.feed.post/3mv2556xmp22y,bafyreibnovaejwls37yuvktew7odfjgejvsfesmfvj44p2fglvhoplvaaa,leftcoasttreefrog.bsky.social,Left Coast Tree Frog 🕊️,"The Associated Press says it will still refer to Lake Ontario, not Lake America.
#cdnpoli
www.winnipegfreepress.com/canada/2026/...",,,,0,0,0,0,0,2026-09-08T23:05:46Z,2026-09-08T23:05:45Z,NA,NA,NA,,,,,
at://did:plc:abt5tpb7lqr7vopkrkwfswwq/app.bsky.feed.post/3mv24vewtvu2s,bafyreiad3qnl4q2z37i3dq6l3q7shki4rvxw636hqwf2aqzscqpewcbtly,canadareport.org,Canada Report,"Selon une étude | Les microplastiques pourraient propager la pollution

Canada’s fastest news scan: 25+ headlines, no clutter, updated all day: CanadaReport.org

#cdnpoli #Canada #News 
Read Original Article 🔗",,,,0,0,0,0,0,2026-09-08T23:01:23Z,NA,NA,NA,NA,,,,,
at://did:plc:rkyu6mb3uieyk6nel54xwisl/app.bsky.feed.post/3mv24u3nmyc2l,bafyreiez6lkljknb6jjxgh577jrnkf62z72z6gdeu66matv5mqhyxrrvk4,smikooman.bsky.social,Doug Johnson 🇨🇦,"B.C. Premier David Eby dons a Kenora, ON dinner jacket to say ""We're all in this together"" (à la Red Green). 

New signs are going up at B.C. borders: ""Welcome to British Columbia, Canada. Strong, proud, and will never be the 51st state. Sorry.""
🇨🇦💪 #CdnPoli",,,,0,2,6,0,0,2026-09-08T23:00:42Z,2026-09-08T23:00:39Z,NA,NA,NA,,,,,
at://did:plc:4ownlsrdmnvwgzmcdi2bof6s/app.bsky.feed.post/3mv24trtux22y,bafyreihynk5eozeorztpsgyggtl7stb4sb3ekvtipiyut5jldbclitavfe,peipolitical.bsky.social,PEIPolitical 🇨🇦,"Trump just now, on a deceased 9/11 rescuer:
""The Man in the Red Bandana. Have you heard of him? He's become more famous than me. I don't like it. Very unhappy. But he's become much more famous than me."" #cdnpoli",,,,2,4,4,0,0,2026-09-08T23:00:31Z,2026-09-08T23:00:29Z,NA,NA,NA,,,,,
at://did:plc:z22iojvb45xno3nblfy6fcwg/app.bsky.feed.post/3mv24tinhta25,bafyreihfflp47ki66y66g5eruqoqnqr2ahtqjxllcww2ehxnjxxq2bu764,trendtags.bsky.social,Trending Tags (Beta),"🌟 BlueSky trending hashtags (1h):

#bb28 #aiイラスト #art #scotus #nsfw #furry #aiart #zelda #furryart #awesomecharacters #cdnpoli #tummytuesday #oot #godzilla #photography",,,,0,0,0,1,0,2026-09-08T23:00:20Z,2026-09-08T23:00:19Z,NA,NA,NA,,,,,
at://did:plc:z22iojvb45xno3nblfy6fcwg/app.bsky.feed.post/3mv24ti2m6u2n,bafyreigmbczqxnpdsrgz2vw55tsi4j6amcog6zjxnpz3sn2fqmhacwd4ku,trendtags.bsky.social,Trending Tags (Beta),"🔥 BlueSky trending hashtags (30m):

#bb28 #zelda #art #aiイラスト #furryart #cdnpoli #tummytuesday #nsfw #furry #vore #aiart #섹블 #oot #oc #photography",,,,0,0,1,1,0,2026-09-08T23:00:19Z,2026-09-08T23:00:19Z,NA,NA,NA,,,,,
at://did:plc:z22iojvb45xno3nblfy6fcwg/app.bsky.feed.post/3mv24thcdwr2r,bafyreiehikqbt2qmowgrdi2diy63u5wmzznwp2hug6vleygxg6czk7jspu,trendtags.bsky.social,Trending Tags (Beta),"🚀 BlueSky trending hashtags (15m):

#bb28 #art #furryart #aiイラスト #furry #cdnpoli #oc #섹블 #nsfw #usopen #aiart #tummytuesday #zelda #섹트 #sunsetchat",,,,0,0,0,1,0,2026-09-08T23:00:18Z,2026-09-08T23:00:18Z,NA,NA,NA,,,,,
at://did:plc:4ownlsrdmnvwgzmcdi2bof6s/app.bsky.feed.post/3mv24odhiok2y,bafyreielytinwmwtnlo5v777pynu2vyjhdo3yztxuqizfqfk46a63q63iy,peipolitical.bsky.social,PEIPolitical 🇨🇦,"BC Premier David Eby just gave a strong message to Donald Trump
""Welcome to BC Canada. Strong, proud, & never the 51st state. Sorry. This is a uniquely Canadian message. It's confident, good humor, and it's unmistakably clear. British Columbia is part of Canada and Canada is not for sale."" #cdnpoli",,,,1,9,26,2,0,2026-09-08T22:57:28Z,2026-09-08T22:57:26Z,NA,NA,NA,,,,,
at://did:plc:g323nwoy6rzvxylyjmn243qu/app.bsky.feed.post/3mv24ln7hfc2i,bafyreielkpsueaodm7kr4dn2ytrsonj5f662m5dxg55pqvuobuarubrk5y,electricbluesfan.bsky.social,RichardJR,"1/6 🇺🇸 🇮🇸 TRUMP'S EXPANSIONIST MAP RATTLES NORDIC ALLIES 🇮🇸 🇺🇸

The U.S. President posted a map draping the American flag over North America, Greenland, and Iceland. 

Reykjavík just summoned the U.S. ambassador in protest.

Source: CBC News
#WorldPolitics #Geopolitics #CdnPoli #Iceland #Greenland",,,,1,0,1,0,0,2026-09-08T22:55:56Z,2026-09-08T22:55:56Z,NA,NA,NA,,,,,
at://did:plc:4ownlsrdmnvwgzmcdi2bof6s/app.bsky.feed.post/3mv24jqluyc2y,bafyreiguhwsxyx7bl7ljwpxcanfzqwichodmgbpizyk2umzllgixuui5bq,peipolitical.bsky.social,PEIPolitical 🇨🇦,"Jean Charest: ""Bombardier has more American content in their planes than Gulfstream. So if they choose to go ahead with this, not only are they going to shoot themselves in the foot, they're gonna shoot themselves in both feet."" #cdnpoli",,,,0,13,37,0,0,2026-09-08T22:54:53Z,2026-09-08T22:54:52Z,NA,NA,NA,,,,,
at://did:plc:eaeuyrvdlqvjgznelgcdimct/app.bsky.feed.post/3mv24hyz34c2o,bafyreifjkwvl5o74nre7w5wcvavpippoa4i4cdchhi7ebbhlq7usqmy7ke,madhat59kenwood.bsky.social,Ken Wood part owner of 🇨🇦,🤞🇨🇦💪 #cdnpoli,,,,0,1,2,0,0,2026-09-08T22:53:54Z,2026-09-08T22:53:54Z,NA,NA,at://did:plc:3o5sovtnjuhemyd7zrtiwnqy/app.bsky.feed.post/3mv234qvb7s2s,,,,,
at://did:plc:re7tflvczjceanwkco2bseqb/app.bsky.feed.post/3mv24eb5jsk2s,bafyreia6driufcq5qu5e5bedkrrf32ejsu74h7c3a3ldzil3kxpdeu2sx4,bella-andme.bsky.social,Sherry Lee,"Another sharp take by @deadder.bsky.social 

#cdnpoli",,,,0,1,1,0,0,2026-09-08T22:51:52Z,2026-09-08T22:51:48Z,NA,NA,NA,,,,,
at://did:plc:rvw7zea2uepqd5anhcg6y2q2/app.bsky.feed.post/3mv24dtapgk24,bafyreib35ctmkrriu3yvagw5d6xhuam5evd7k6i32aiixb3tqljoxu2xce,cdnmilitarysupport.bsky.social,,Canada to be the largest global uranium exporter. #CdnPoli,,,,0,1,1,0,0,2026-09-08T22:51:36Z,2026-09-08T22:51:34Z,NA,NA,NA,,,,,
at://did:plc:xuivv5lfdceerbemwheokikj/app.bsky.feed.post/3mv24bkqmbc2r,bafyreif64yyqeodht66fazdlikvpo2td6j3dbvzru5vw53w77wxqbh3z2a,mikebednarski.bsky.social,Michael Bednarski 🇨🇦,"If Canada bans goods from West Bank settlements, does that mean no more Soda Stream? #cdnpoli",,,,0,0,0,0,0,2026-09-08T22:50:18Z,2026-09-08T22:50:18Z,NA,NA,NA,,,,,
at://did:plc:re7tflvczjceanwkco2bseqb/app.bsky.feed.post/3mv245jop222g,bafyreigufaqdeum6okbsug33zhzgd2slkqvqtlndyd3mhmnr4ewfho3424,bella-andme.bsky.social,Sherry Lee,"Indeed. He evaded the direct question about running for a seat in Toronto (given that he was in a Toronto basement apartment) and reiterated he’s not seeking a seat. 
Could he be worried he wouldn’t win a seat if he ran? 

#pnpcbc #cdnpoli",,,,1,0,2,0,0,2026-09-08T22:48:03Z,2026-09-08T22:48:02Z,at://did:plc:sw5qmiw6x4mtoozq2fj6xoua/app.bsky.feed.post/3mv23wsn62k22,at://did:plc:tkfg6eimgd36nkcagcayhmvv/app.bsky.feed.post/3mv22pvqphc2p,NA,,,,,
at://did:plc:pcgt3dnccbxxg6fwj5cjjef2/app.bsky.feed.post/3mv23zmbjj5l2,bafyreifozivn5to53vnrdf2o2pwt67imx5ouvesakgtqispmo5pr2jny6m,pinhman.humanwords.party.ap.brid.gy,Gordon J Holtslander,"WesternStandard's Derek Fildebrandt: Bertasplaining independence to the Rest of Canada

Alberta needs to be independent because:

""Canada lowered its flag in self-flagellating shame for months to atone for a “mass graves” hoax. It opened the floodgates of third-world mass migration that is […]",,,,0,0,0,0,0,2026-09-08T22:45:54Z,2026-09-08T22:45:50Z,NA,NA,NA,,,,,
at://did:plc:e2gatef4rgurutqokoorvrpa/app.bsky.feed.post/3mv23yshy6c2a,bafyreibkn2ptnnybdzoudijhtqhketf2hi5klqke6mc3kgso2xiosqhv3y,karenatsharon.bsky.social,,"Canada, U.K., France to ban tr...
www.cbc.ca/news/world/c... #cdnpoli Good!",,,,0,1,0,0,0,2026-09-08T22:45:26Z,2026-09-08T22:45:24Z,NA,NA,NA,,,,,
at://did:plc:z22iojvb45xno3nblfy6fcwg/app.bsky.feed.post/3mv23ymynbw2s,bafyreicwwq6ctkiqcbjso6eszuf42e6yzjjaohte32dxh5r56vtvocuuky,trendtags.bsky.social,Trending Tags (Beta),"🚀 BlueSky trending hashtags (15m):

#bb28 #art #nsfw #cdnpoli #furry #furryart #tummytuesday #diaper #vore #zelda #aiイラスト #ocarinaoftime #fanart #scotus #digitalart",,,,0,0,1,1,0,2026-09-08T22:45:18Z,2026-09-08T22:45:18Z,NA,NA,NA,,,,,
at://did:plc:re7tflvczjceanwkco2bseqb/app.bsky.feed.post/3mv23yhq2cs2g,bafyreigwxrmsopervvwxtrf2j4akfss32t5mamuw57vtzh3k5f2c54zv2u,bella-andme.bsky.social,Sherry Lee,"There it is. 
Emilie Nicolas on “Power & Poiitics” calling out the nervousness Trump and Bessent are feeling - treasury bonds. 

#pnpcbc #cdnpoli
#uspoli
#tradewar",,,,1,0,0,0,0,2026-09-08T22:45:14Z,2026-09-08T22:45:13Z,NA,NA,NA,,,,,
at://did:plc:re7tflvczjceanwkco2bseqb/app.bsky.feed.post/3mv23mjeq2222,bafyreidkzyqeihwj3ananqmrizfrumtzxffiihiwki4h2ood3oq2kxt6my,bella-andme.bsky.social,Sherry Lee,"Avi Lewis talks and talks and talks - he loves the sound of his own voice. That’s not leadership. That’s pontificating. 

#pnpcbc #cdnpoli",,,,2,0,7,0,0,2026-09-08T22:38:37Z,2026-09-08T22:38:32Z,at://did:plc:tkfg6eimgd36nkcagcayhmvv/app.bsky.feed.post/3mv22pvqphc2p,at://did:plc:tkfg6eimgd36nkcagcayhmvv/app.bsky.feed.post/3mv22pvqphc2p,NA,,,,,
at://did:plc:tsnl57oooc2eelirafqdetul/app.bsky.feed.post/3mv23fgfbes2b,bafyreiawzwqvrpuryawgwq4dom2gioafvjgqx5zesxmd43h6yo2zh6ylla,lesundini.bsky.social,🍁lesundini,"USA food is to be guarded against under the Trump-Kennedy theory of nutrition and safety.
#cdnpoli",,,,0,1,0,0,0,2026-09-08T22:34:35Z,2026-09-08T22:34:34Z,at://did:plc:z6sw2k6f33atzhuaw77ynr6r/app.bsky.feed.post/3muzly5aeck2y,at://did:plc:z6sw2k6f33atzhuaw77ynr6r/app.bsky.feed.post/3muzly5aeck2y,NA,,,,,
at://did:plc:abt5tpb7lqr7vopkrkwfswwq/app.bsky.feed.post/3mv237y45vj2f,bafyreibqo4mpihzwuh7wnzj7rkiuj4rulc5kyyawfg3lcoilgfykjafvty,canadareport.org,Canada Report,"Elevra Lithium Announces NAL Expansion Pre-Feasibility Study

Canada’s fastest news scan: 25+ headlines, no clutter, updated all day: CanadaReport.org

#cdnpoli #Canada #News #Business #Economy 
Read Original Article 🔗",,,,0,0,0,0,0,2026-09-08T22:31:32Z,NA,NA,NA,NA,,,,,
at://did:plc:e2gatef4rgurutqokoorvrpa/app.bsky.feed.post/3mv237of6gk27,bafyreid72gl3urtfq67ydzwqqfw47sy6spkkwmkd2w7qxnm5i6np22xm74,karenatsharon.bsky.social,,"U.A.E. warned Netanyahu of maj...
www.cbc.ca/news/world/u...  So he knew and did nothing? Did he let it happen so his bribery trial would be put on hold? This man should be put on trial at the Hague. #Israel #cdnpoli",,,,0,0,1,0,0,2026-09-08T22:31:22Z,2026-09-08T22:31:21Z,NA,NA,NA,,,,,
at://did:plc:tsnl57oooc2eelirafqdetul/app.bsky.feed.post/3mv2375gl5k2b,bafyreibzrglz7vg5osuakk6envfcvzdeha2x3cieck5kh77cngxlngl2jy,lesundini.bsky.social,🍁lesundini,"Yep.  With over 100,000,000 more people than the USA the EU is still a good dance partner.   Educated, industrialized democratic --  a scarce catch in todays world.
It does lack  the military clout of the USA though.
#cdnpoli",,,,0,1,0,0,0,2026-09-08T22:31:05Z,2026-09-08T22:31:03Z,at://did:plc:z6sw2k6f33atzhuaw77ynr6r/app.bsky.feed.post/3muzrmjifhk2y,at://did:plc:z6sw2k6f33atzhuaw77ynr6r/app.bsky.feed.post/3muzrmjifhk2y,NA,,,,,
at://did:plc:mxc7liuon6iq5gzapmmwkq22/app.bsky.feed.post/3mv236hhut224,bafyreie7rmhgtkihsfr5ufplpzqpo47xzzkh446e7r4732owxalf3odp7q,youranoncentral.bsky.social,Anonymous,"Carney on the US trade war: ""The world is opening its doors to us, making Canada the best connected economy in the world. Our businesses now enjoy tariff-free access to 1.5 billion consumers around the world. 

Over the next six months, we will double that number."" #cdnpoli",,,,7,69,235,4,0,2026-09-08T22:30:41Z,2026-09-08T22:30:40Z,NA,NA,NA,,,,,
at://did:plc:z22iojvb45xno3nblfy6fcwg/app.bsky.feed.post/3mv235tvfpy25,bafyreiaeho5enujkimxxpd6vcfr3y42p6f352pmosljqmnbumdleti2jyu,trendtags.bsky.social,Trending Tags (Beta),"🔥 BlueSky trending hashtags (30m):

#bb28 #art #aiイラスト #furry #nsfw #zelda #scotus #furryart #oot #aiart #awesomecharacters #godzilla #cdnpoli #gamedev #tummytuesday",,,,0,0,2,1,0,2026-09-08T22:30:19Z,2026-09-08T22:30:19Z,NA,NA,NA,,,,,
at://did:plc:z22iojvb45xno3nblfy6fcwg/app.bsky.feed.post/3mv235soker2n,bafyreibwc6nrbrxo6lek4ykrjxxbnc43wlswcgevqa5vlvwrwm4pjoqztq,trendtags.bsky.social,Trending Tags (Beta),"🚀 BlueSky trending hashtags (15m):

#bb28 #zelda #furry #art #nsfw #cdnpoli #aiイラスト #furryart #oot #awesomecharacters #hyper #aiart #gamedev #anime #musicchallenge",,,,0,0,2,1,0,2026-09-08T22:30:18Z,2026-09-08T22:30:18Z,NA,NA,NA,,,,,
at://did:plc:rvw7zea2uepqd5anhcg6y2q2/app.bsky.feed.post/3mv234crl4k24,bafyreiewj3peewgdsk2lcc5y3uu34q3u4cht67omlqm5oj2tzku4lnvwci,cdnmilitarysupport.bsky.social,,Norwegian company Kongsberg to deliver remote system weapons system for Canada's LAV 6-based armoured combat support vehicles #CdnPoli #Norway #EU #Military,,,,0,0,1,0,0,2026-09-08T22:29:30Z,2026-09-08T22:29:28Z,NA,NA,NA,,,,,
