Username,Title,Video_URL,Publish_Date,Has_Comments
dondaviesndp,NDP Leader Don Davies: Standing Up for Postal Workers and the Future of Canada Post,https://www.youtube.com/watch?v=bxYXDmInFNI,2025-10-03T18:47:36Z,Yes
dondaviesndp,"NDP Leader Don Davies to PM: Canada needs investment, not an austerity budget",https://www.youtube.com/watch?v=gDDEwrngdIs,2025-10-02T19:13:53Z,Yes
dondaviesndp,NDP Leader Don Davies Demands Emergency Debate on Canada Post Cuts,https://www.youtube.com/watch?v=IUVOzpQsz2U,2025-10-01T23:46:47Z,Yes
PierrePoilievre,The Prime Minister can scrap Liberal bail TODAY. Put the safety of Canadians FIRST.,https://www.youtube.com/watch?v=s8XUA4JvNvE,2025-10-06T16:22:21Z,Yes
PierrePoilievre,This company spends more on Mark Carney’s industrial carbon tax than they do on U.S. tariffs.,https://www.youtube.com/watch?v=PD2sKbK2NTY,2025-10-06T00:15:02Z,Yes
PierrePoilievre,Go Jays!,https://www.youtube.com/watch?v=f5-t35ym_Z8,2025-10-05T21:19:58Z,Yes
PierrePoilievre,"Scrap Liberal bail, keep repeat violent criminals behind bars and put the safety of Canadians First.",https://www.youtube.com/watch?v=MKFae2VOdiM,2025-10-05T20:34:49Z,Yes
PierrePoilievre,Eh oui ! Les conservateurs sont préoccupés par la hausse des prix à l’épicerie.,https://www.youtube.com/watch?v=42c_46tuXfM,2025-10-05T10:00:08Z,Yes
PierrePoilievre,Prime Minister Carney's tanker ban drives energy production and paycheques south.,https://www.youtube.com/watch?v=xo3tMx8uY8E,2025-10-04T17:04:24Z,Yes
PierrePoilievre,"The Hart Brothers, WrestleMania, and how a young kid ends up in politics.",https://www.youtube.com/watch?v=Z9xob-6X4cM,2025-10-04T14:31:05Z,Yes
PierrePoilievre,"""The only thing that's stopping us is ourselves.""",https://www.youtube.com/watch?v=AR9LEe_1ffc,2025-10-03T20:10:07Z,Yes
PierrePoilievre,The answer is very simple.,https://www.youtube.com/watch?v=wuWamxqX49M,2025-10-02T21:44:50Z,Yes
PierrePoilievre,Judge him by his results,https://www.youtube.com/watch?v=2T3XO8ZyJx0,2025-10-02T20:39:41Z,Yes
PierrePoilievre,La criminalité explose à cause des libéraux,https://www.youtube.com/watch?v=3uQD-sUvMgQ,2025-10-02T20:13:47Z,Yes
PierrePoilievre,WE MUST SCRAP LIBERAL BAIL NOW!,https://www.youtube.com/watch?v=bZzY2NUHAKQ,2025-10-02T19:23:24Z,Yes
PierrePoilievre,Safety for Canadians. Jail for violent criminals.,https://www.youtube.com/watch?v=ok-hZeQq9Aw,2025-10-02T16:59:24Z,Yes
PierrePoilievre,Message to Carney: scrap Liberal bail reform or get out of the way and let Conservatives do it.,https://www.youtube.com/watch?v=QFjyh4pmI4M,2025-10-02T15:20:07Z,Yes
PierrePoilievre,Fini la liberté sous caution libérale,https://www.youtube.com/watch?v=cb4iwjMw00s,2025-10-02T14:27:37Z,Yes
PierrePoilievre,LIVE: Scrap Liberal Bail,https://www.youtube.com/watch?v=j3_M3YTzZm0,2025-10-02T14:17:06Z,Yes
PierrePoilievre,All Prime Minister Carney needs to do is get out of the way.,https://www.youtube.com/watch?v=eBG_B1oun0U,2025-10-02T00:12:56Z,Yes
PierrePoilievre,I now realize this was unfair to say.,https://www.youtube.com/watch?v=flWnuZtz7kM,2025-10-01T19:33:17Z,Yes
PierrePoilievre,"When the Prime Minister doesn't do his job, Canadians lose theirs.",https://www.youtube.com/watch?v=QCo-culL-Eg,2025-10-01T19:21:58Z,Yes
MelissaLantsman,"The more the Liberals spend, the more Canadians pay.",https://www.youtube.com/watch?v=uwpMhqT01hQ,2025-10-01T18:59:35Z,Yes
MelissaLantsman,Fly Jays fly ⚾️,https://www.youtube.com/watch?v=z-_gCfgJSes,2025-10-01T18:50:01Z,Yes
jennykwanmp,"MP Jenny Kwan in Question Period  - October 2, 2025",https://www.youtube.com/watch?v=hUEsncApYp4,2025-10-02T19:42:08Z,Yes
